Faultnum,USGS_Link
997a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=997&section_id=a
997b,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=997&section_id=b
998a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=998&section_id=a
998b,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=998&section_id=b
998c,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=998&section_id=c
1004b,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1004&section_id=b
2520,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2520&section_id=
2522,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2522&section_id=
2524,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2524&section_id=
2527,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2527&section_id=
2528,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2528&section_id=
2529,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2529&section_id=
2532,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2532&section_id=
2533,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2533&section_id=
2534,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2534&section_id=
2535,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2535&section_id=
2536,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2536&section_id=
2537,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=2537&section_id=
2550,no link
2558,no link
